headline,publication,country,sentiment,brand_mention,coverage_type,publish_date,summary,source_url
Radisson Hotels faces growing competition in German airport segment,Hospitality Europe,Germany,Negative,Radisson Blu,Industry analysis,2026-04-28,Analysis piece citing declining online scores at Frankfurt and Hamburg properties vs Hilton and Marriott,https://example.com/he/radisson-germany
London airport hotels: who's winning the business traveller?,Business Traveller UK,United Kingdom,Neutral,Radisson Blu,Competitive benchmarking,2026-04-20,Radisson Stansted ranked 3rd of 5 properties in guest experience index,https://example.com/bt/london-airport
Radisson RED Edinburgh wins Scottish Hotel Award,Scottish Hotel Awards,United Kingdom,Positive,Radisson RED,Award,2026-03-15,Best new hotel in Scotland 2026 for design and guest experience,https://example.com/sha/red-edinburgh
Amsterdam airport hotel crunch: capacity vs quality,Travel Weekly NL,Netherlands,Negative,Radisson Blu,Market report,2026-04-10,Review scores at major airport hotels falling — Radisson Amsterdam cited,https://example.com/tw/amsterdam-airport
Radisson Collection Warsaw best luxury hotel in CEE — survey,Luxury Travel Magazine CEE,Poland,Positive,Radisson Collection,Survey result,2026-03-28,Top ranking in CEE luxury segment for 2026,https://example.com/lt/warsaw-luxury
Barcelona hotels: sustainability credentials under scrutiny,Forbes Travel Guide ES,Spain,Negative,Radisson Blu,Investigative,2026-04-05,Radisson Barcelona lacks published carbon targets vs Accor and Marriott,https://example.com/ftg/barcelona-esg
Radisson Group targets 30 new signings in EMEA for 2026,Hotel Management International,Europe,Positive,Radisson Group,Corporate news,2026-04-01,CEO interview — pipeline at record high for EMEA,https://example.com/hmi/radisson-signings
Radisson Blu Milan guests report AC issues in social media storm,Italian Hotel Review,Italy,Negative,Radisson Blu,Social media monitor,2026-04-18,TikTok video of broken AC unit goes viral with 450K views,https://example.com/ihr/milan-ac
European hotel groups lag on digital check-in rollout,Skift Europe,Europe,Neutral,Radisson Group,Tech benchmarking,2026-03-20,Radisson cited as slower than Hilton and Marriott on mobile key rollout,https://example.com/skift/digital-checkin
Radisson Rewards ranked #4 in EMEA loyalty programme survey,Points Guy Europe,Europe,Neutral,Radisson Rewards,Loyalty survey,2026-04-22,Trailing Marriott Bonvoy IHG One and Hilton Honors — member satisfaction declining,https://example.com/tpg/emea-loyalty
Radisson Group reports 8% RevPAR growth Q1 2026,Hotel News Resource,Europe,Positive,Radisson Group,Financial results,2026-04-30,Strong performance in MEA and CEE markets; EMEA West softer,https://example.com/hnr/radisson-q1
Travel boycott campaigns target hotels lacking refugee employment commitments,ESG Hospitality Monitor,Europe,Negative,Multiple chains,ESG pressure,2026-04-14,Radisson Group not named but sector-wide pressure noted,https://example.com/esg/refugee-employment
